name,zone,lower,upper
uztwm_SAKW1-1,SAKW1-1,25,78.5
uzfwm_SAKW1-1,SAKW1-1,10,57.5
lztwm_SAKW1-1,SAKW1-1,10,259.75
lzfpm_SAKW1-1,SAKW1-1,102,498
lzfsm_SAKW1-1,SAKW1-1,25.5,124.5
adimp_SAKW1-1,SAKW1-1,0,0.2
uzk_SAKW1-1,SAKW1-1,0.18,0.6
lzpk_SAKW1-1,SAKW1-1,0.004,0.03
lzsk_SAKW1-1,SAKW1-1,0.1045,0.254
zperc_SAKW1-1,SAKW1-1,1,110
rexp_SAKW1-1,SAKW1-1,1.625,4.5
pctim_SAKW1-1,SAKW1-1,0,0.05
pfree_SAKW1-1,SAKW1-1,0,0.6
riva_SAKW1-1,SAKW1-1,0,0.2
scf_SAKW1-1,SAKW1-1,0.7,1.5
mfmax_SAKW1-1,SAKW1-1,0.5,1.2225
mfmin_SAKW1-1,SAKW1-1,0.1,0.49
uadj_SAKW1-1,SAKW1-1,0.05,0.2
si_SAKW1-1,SAKW1-1,1,5000
adc_a_SAKW1-1,SAKW1-1,0,0.25
adc_b_SAKW1-1,SAKW1-1,0.05,50
adc_c_SAKW1-1,SAKW1-1,0.5,50
unit_shape_SAKW1-1,SAKW1-1,1.01,3.3
unit_toc_adj_SAKW1-1,SAKW1-1,0.75,1.25
uztwm_SAKW1-2,SAKW1-2,25,78.5
uzfwm_SAKW1-2,SAKW1-2,10,57.5
lztwm_SAKW1-2,SAKW1-2,10,259.75
lzfpm_SAKW1-2,SAKW1-2,102,498
lzfsm_SAKW1-2,SAKW1-2,25.5,124.5
adimp_SAKW1-2,SAKW1-2,0,0.2
uzk_SAKW1-2,SAKW1-2,0.18,0.6
lzpk_SAKW1-2,SAKW1-2,0.004,0.03
lzsk_SAKW1-2,SAKW1-2,0.1045,0.254
zperc_SAKW1-2,SAKW1-2,1,110
rexp_SAKW1-2,SAKW1-2,1.625,4.5
pctim_SAKW1-2,SAKW1-2,0,0.05
pfree_SAKW1-2,SAKW1-2,0,0.6
riva_SAKW1-2,SAKW1-2,0,0.2
scf_SAKW1-2,SAKW1-2,0.7,1.5
mfmax_SAKW1-2,SAKW1-2,0.5,1.2225
mfmin_SAKW1-2,SAKW1-2,0.1,0.49
uadj_SAKW1-2,SAKW1-2,0.05,0.2
si_SAKW1-2,SAKW1-2,1,5000
adc_a_SAKW1-2,SAKW1-2,0,0.25
adc_b_SAKW1-2,SAKW1-2,0.05,50
adc_c_SAKW1-2,SAKW1-2,0.5,50
unit_shape_SAKW1-2,SAKW1-2,1.01,3.3
unit_toc_adj_SAKW1-2,SAKW1-2,0.75,1.25
lagtbl_a_WCHW1,WCHW1,-1,0
lagtbl_b_WCHW1,WCHW1,-1,0
lagtbl_c_WCHW1,WCHW1,0.1,1
ktbl_a_WCHW1,WCHW1,-1,1
ktbl_b_WCHW1,WCHW1,-1,1
ktbl_c_WCHW1,WCHW1,0.3,0.7
ktbl_d_WCHW1,WCHW1,0,1
init_co_WCHW1,WCHW1,103.769843290594,415.079373162377
init_if_WCHW1,WCHW1,103.769843290594,415.079373162377
init_of_WCHW1,WCHW1,103.769843290594,415.079373162377
init_stor_WCHW1,WCHW1,103.769843290594,415.079373162377
map_scale_SAKW1,SAKW1,0.5,1.5
map_p_redist_SAKW1,SAKW1,0,0.5
map_std_SAKW1,SAKW1,0.1,20
map_shift_SAKW1,SAKW1,-15,15
mat_scale_SAKW1,SAKW1,0.5,1.5
mat_p_redist_SAKW1,SAKW1,0,0.5
mat_std_SAKW1,SAKW1,0.1,20
mat_shift_SAKW1,SAKW1,-15,15
pet_scale_SAKW1,SAKW1,0.5,1.5
pet_p_redist_SAKW1,SAKW1,0,0.5
pet_std_SAKW1,SAKW1,0.1,20
pet_shift_SAKW1,SAKW1,-15,15
pxtemp_SAKW1-1,SAKW1-1,-1,3
talr_SAKW1-1,SAKW1-1,-0.75,-0.55
pxtemp_SAKW1-2,SAKW1-2,-1,3
talr_SAKW1-2,SAKW1-2,-0.75,-0.55
